,Cuts,Number of events,Cumulative efficiency,Efficiency
0,pretrigger,1541579.0,,
1,|muonId| == 13,1541579.0,,100.0
2,|muonEta| < 1.5,1338458.0,,86.8238345229145
3,muonPt > 7,554984.0,,41.464431457692356
4,muonHLTReq,106684.44485323317,,19.222976671982106
5,muonQual >= 2^25,107761.52397164516,,101.00959340407474
6,muonLeadPtReq,108283.71352769434,,100.48457885226881
7,eventHLT_cut,108218.38352715969,100.0,99.93966775020331
8,llp_decayed_in_dt,64201.39931207895,59.325779243381746,59.325779243381746
9,N clusters >= 1,9217.772047549486,8.517750632669625,14.35758744562946
10,cls_llp_deltaR_cut,5038.937025114894,4.656267133994167,54.6654549398895
11,cls_trigg_muon_deltaR_cut,4299.148021519184,3.972659617892206,85.31855032304473
12,rpc_matching,4260.557021230459,3.936999317829565,99.10235702293664
13,muon_veto,3987.969019755721,3.685112353165815,93.60205719307532
14,mb1_veto,1215.3850057721138,1.1230855296106759,30.47629005519609
15,rpc_time_cut,1190.3630057871342,1.0999637649257508,97.94122851062461
16,mb1_adjacent,1139.0860054939985,1.0525808724615822,95.69232242233298
17,cluster_size_100,362.31700195372105,0.33480171311447277,31.807694959485655
