,Cuts,Number of events,Cumulative efficiency,Efficiency
0,pretrigger,334230.8435638817,,
1,|muonId| == 13,343991.02505921415,,102.920191742707
2,|muonEta| < 1.5,599853.3407430245,,174.3805207242737
3,muonPt > 7,213287.409860668,,35.55659281591627
4,muonHLTReq,105540.570497524,,49.48279439769528
5,muonQual >= 2^25,106686.96932498645,,101.08621625035593
6,muonLeadPtReq,107216.36252847314,,100.49621168061684
7,eventHLT_cut,107148.4515285492,100.0,99.93665985459457
8,llp_decayed_in_dt,63556.687313869596,59.31647765990834,59.31647765990834
9,N clusters >= 1,8657.569046065211,8.079975886313619,13.621806629584865
10,cls_llp_deltaR_cut,4521.077023357153,4.219451572897937,52.22109115505054
11,cls_trigg_muon_deltaR_cut,3567.721018716693,3.3296990930065755,78.91307757609182
12,rpc_matching,3540.991018474102,3.304752395353676,99.25078221917123
13,muon_veto,2379.337012797594,2.220598598350841,67.1940990639086
14,mb1_veto,751.9110042303801,0.701746962745455,31.601702498894543
15,rpc_time_cut,739.2730042338371,0.6899521119414976,98.31921598095528
16,mb1_adjacent,715.6720041334629,0.6679256619427445,96.80753930344939
17,cluster_size_100,131.71900065243244,0.12293131517382362,18.40493967790707
