,Cuts,Number of events,Cumulative efficiency,Efficiency
0,pretrigger,237762.16880068474,,
1,|muonId| == 13,244940.15645637838,,103.01897803670815
2,|muonEta| < 1.5,426694.2749147137,,174.20347936729766
3,muonPt > 7,154451.82530694047,,36.197304343446326
4,muonHLTReq,83228.22588599799,,53.8862041420355
5,muonQual >= 2^25,84266.96709715948,,101.2480636227718
6,muonLeadPtReq,84749.97042296827,,100.57318228298391
7,eventHLT_cut,84675.13842302561,100.0,99.91170262411988
8,llp_decayed_in_dt,42007.06021003425,49.60967409367863,49.60967409367863
9,N clusters >= 1,8648.307045429945,10.21351391505753,20.587746445927483
10,cls_llp_deltaR_cut,6085.2110328525305,7.1865380395974485,70.36303175739071
11,cls_trigg_muon_deltaR_cut,4966.878026723862,5.865804437082827,81.62211630638495
12,rpc_matching,4940.844026699662,5.835058694579121,99.47584780854038
13,muon_veto,3560.4650196135044,4.204852907149558,72.06187850442609
14,mb1_veto,928.4650050401688,1.0965024945122408,26.077071391673314
15,rpc_time_cut,913.9870050102472,1.079404205333673,98.44065204920726
16,mb1_adjacent,881.8650048077106,1.0414686308536416,96.48550799667262
17,cluster_size_100,268.4740013331175,0.31706355174981526,30.443888789039523
